Judul,Tanggal,Penulis,Label,Kota,Content,Url
"Viral, Video Aksi Pemuda Tandai Jalan Berlubang Pakai Cat Semprot","Kompas.com - 29/03/2023, 13:21 WIB",Aprida Mega Nanda,Feature,Kecelakaan,"

JAKARTA, KOMPAS.com - Kondisi jalan yang berlubang cukup berbahaya dan mengancam keselamatan pengendara, terutama untuk pengguna roda dua. Kecelakaan bisa terjadi karena motor menerjang lubang, terutama pada malam hari.
Untuk mencegah kecelakaan akibat jalan berlubang, sejumlah pemuda di Gresik melakukan perbuatan terpuji dengan memberi tanda jalan berlubang menggunakan cat semprot.
Aksi itu pun viral di media sosial setelah diunggah oleh akun Tiktok bernama @sate.bakar.id. Dalam rekaman tersebut, terlihat sejumlah pemuda memberi tanda jalan berlubang menggunakan cat semprot berwarna putih.
Baca juga: Apa Benar Karakter Ban MT Bergetar Saat Digunakan di Aspal?
“Bukan apa-apa, hanya tidak ingin terjadi apa-apa,” tulis keterangan unggahan tersebut.
@sate.bakar.id Bukan apa apa, hanya tidak ingin terjadi apa apa #gresik24jam #polresgresik #foryoupage #explore ? suara asli - Sadvibes????
Video itu pun mendapat berbagai komentar dari warganet, tak sedikit dari pengguna jalan yang merasa terbantu dengan aksi sejumlah pemuda itu.
“Sederhana tapi sangat bermanfaat,” tulis akun @nakcomell27.
“Ini berguna banget, apalagi pulang malam sendirian habis dari apotek,” tulis akun @miawmiauw.
Head of Safety Riding Promotion Wahana Agus Sani mengatakan, memberi tanda jalan berlubang menggunakan cat semprot cukup membantu pengendara motor agar lebih bisa berhati-hati dengan adanya potensi bahaya di jalan, seperti jalan berlubang dan rusak.
“Apalagi jika cat semprot itu menggunakan warna yang cerah sehingga pada saat jalan gelap maka mata pengendara dapat melihat tanda tersebut,” kata Agus saat dihubungi Kompas.com, Rabu (29/3/2023).
KOMPAS.com/M Chaerul Halim Kondisi jalan berlubang di Jalan Raya Margonda, Depok atau tepatnya di depan Klinik Pertamedika Inc pada Senin (9/1/2023).
Namun, Agus melanjutkan, cat semprot tersebut hanya berfungsi sebagai penanda. Perihal pengendara bisa menghindar lubang tersebut atau tidak tergantung dari kemampuan si pengemudi dalam mengoperasikan kendaraannya.
Baca juga: Kenali Tanda Minyak Rem Mobil Harus Segera Diganti
“Apabila dia sadar terhadap tanda-tanda bahaya yang ada di jalan maka dia akan mengurangi kecepatan kendaraannya agar bisa lebih aman dalam melewati jalan tersebut,” ucap Agus.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 

",http://otomotif.kompas.com/read/2023/03/29/132100415/viral-video-aksi-pemuda-tandai-jalan-berlubang-pakai-cat-semprot
"Pengendara Motor di Lombok Tengah Ditemukan Tewas, Diduga Korban Tabrak Lari","Kompas.com - 29/03/2023, 12:54 WIB","Kontributor Lombok Tengah, Idham Khalid",Regional,"LOMBOK TENGAH, KOMPAS.com ","
LOMBOK TENGAH, KOMPAS.com - Udin (40), warga Desa Bodak, Kecamatan Praya, Kabupaten Lombok Tengah, tewas diduga akibat tabrak lari, Selasa (28/3/2023).
Kapolsek Pringgarata AKP Sulyadi Muchdip mengatakan, kecelakaan itu terjadi di Jalan Raya Dusun Jurang Sate, Desa Sepakek, Kecamatan Pringgarata, Lombok Tengah, pukul 17.00 Wita.
Baca juga: Satu Keluarga di Lombok Tengah Tersambar Petir Saat Berteduh di Gubuk, 1 Korban Tewas, 2 Alami Luka Bakar
""Korban mengalami tempurung kepala pecah sehingga mengakibatkan meninggal dunia di TKP,"" Kata Sulyadi dalam keterangan tertulis.
Sulyadi menyampaikan, kecelakaan itu bermula ketika motor Honda Beat yang dikendarai korban datang dari arah Pringgarata menuju Barebali.

Tak lama kemudian, pengendara motor dengan nomor polisi DR 5441 BN itu ditemukan terjatuh. Korban pun meninggal di lokasi kejadian.
Baca juga: Pernah Lakukan Penipuan dan Pencurian, Seorang Polisi di Lombok Tengah Dipecat
""Korban diduga merupakan korban tabrak lari dan atas permintaan keluarga, korban dibawa ke Rumah Sakit Islam Yatopa Bodak,"" kata Sulyadi.
Polisi telah mengamankan barang bukti sepeda motor di Unit Lakalantas Polres Lombok Tengah. Saat ini, kecelakaan itu didalami oleh Unit Lakalantas Polres Lombok Tengah.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://regional.kompas.com/read/2023/03/29/125455278/pengendara-motor-di-lombok-tengah-ditemukan-tewas-diduga-korban-tabrak-lari
"Rem Blong, Pikap Bermuatan Kue Lebaran di Banyuwangi Terperosok ke Sungai","Kompas.com - 27/03/2023, 20:11 WIB","Kontributor Banyuwangi, Rizki Alfian Restiawan",Regional,"BANYUWANGI, KOMPAS.com","
BANYUWANGI, KOMPAS.com - Sebuah mobil pikap dengan nomor polisi P 8571 ZO mengalami kecelakaan tunggal di Jalan Raya Jajag, Desa Gambiran, Kecamatan Gambiran, Banyuwangi. 
Mobil bermuatan kue lebaran itu terperosok ke sungai yang berada di seberang jalan raya. Di dalam mobil terdapat dua penumpang.
Baca juga: Jadwal Imsak dan Buka Puasa di Banyuwangi Hari Ini, 24 Maret 2023
Kapolsek Gambiran AKP Abdul Rohman mengatakan, kedua penumpang mobil pikap tersebut dilaporkan selamat.
""Mereka adalah Hilman Maulana (18) dan Arvika (17). Keduanya merupakan warga Dusun Krajan, Desa Dasri, Kecamatan Tegalsari,"" kata Abdul Rohman di Banyuwangi, Senin (27/3/2023).
Menurutnya, mobil pikap tersebut terperosok karena mengalami rem blong. Ditambah posisi jalur menikung.
""Jalannya menikung. Saat direm, remnya blong. Yang akhirnya membuat kendaraan oleng dan terperosok ke dalam sungai,"" ungkap Abdul Rohman.

Sebelum terperosok jatuh ke sungai, sekitar 100 meter dari tempat kejadian, sopir pikap itu sudah tidak bisa mengendalikan laju kendaraan.
Sopir kemudian membanting setir hingga akhirnya oleng dan terperosok jatuh ke sungai.
""Remnya membuat laju kendaraan tidak bisa dikendalikan,"" ujarnya.
Baca juga: Aksi Perang Sarung Kembali Muncul di Banyuwangi, Polisi Turun Tangan 
Tidak ada korban jiwa dalam peristiwa kecelakaan itu. Namun, bodi bagian depan mobil pikap ringsek. 
Sejumlah kue lebaran di dalam boks mobil dilaporkan rusak. Meski tidak banyak, total kerugian ditaksir mencapai Rp 3 juta.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://surabaya.kompas.com/read/2023/03/27/201127478/rem-blong-pikap-bermuatan-kue-lebaran-di-banyuwangi-terperosok-ke-sungai
"Hindari Motor yang Menyalip, Mobil Tabrak Pohon lalu Ditabrak Motor Lain di Pondok Kelapa","Kompas.com - 27/03/2023, 18:37 WIB",Nabilla Ramadhian,Megapolitan,"JAKARTA, KOMPAS.com","
JAKARTA, KOMPAS.com - Sebuah mobil yang dikendarai pria lanjut usia (lansia) menabrak pohon di Jalan Haji Naman, Kelurahan Pondok Kelapa, Duren Sawit, Jakarta Timur, Senin (27/3/2023).
Sebab, lansia pengemudi mobil itu menghindari motor yang menyalip mobil lain dari arah berlawanan.
""Yang ngendarain mobil aki-aki, dari arah Kalimalang enggak tahu mau ke mana. Motor dari arah berlawanan motong (menyalip mobil di depannya), mobil aki-aki dibelokin ke kiri, nabrak (pohon),"" ujar saksi bernama Nusi di lokasi kejadian.
Baca juga: Akhir Pelarian Natalia Rusli, Menyerahkan Diri Setelah Hampir 4 Bulan Jadi Buronan Polisi
Di belakang mobil yang dikendarai lansia itu ternyata ada pengendara motor lain yang melaju dengan kecepatan tinggi. Akibatnya, mobil yang dikendarai lansia itu ditabrak motor tersebut.
""Suaranya kencang, saya sampai kaget. Motornya ringsek, depannya rusak,"" kata Nusi.
Nusi tidak mengetahui pasti apakah pria pengendara motor yang menabrak mobil itu mengalami cedera atau tidak.
Baca juga: Balap Lari Liar di Serpong Park Diprotes Warga, Satpam Kompleks: Berisik, Teriak-teriak
Nusi hanya melihat bahwa pengendara motor itu terluka dahinya dan kerap memegang perutnya.
""Katanya jari manisnya putus. Enggak tahu dia berlumuran darah apa enggak, soalnya dia pakai jaket. Dia langsung dibawa ke RS Islam Pondok Kopi,"" pungkas Nusi.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://megapolitan.kompas.com/read/2023/03/27/18372811/hindari-motor-yang-menyalip-mobil-tabrak-pohon-lalu-ditabrak-motor-lain
"Terekam CCTV, Bocah Perempuan Ditabrak Motor di Mamasa, Terseret hingga 7 Meter","Kompas.com - 27/03/2023, 11:45 WIB","Kontributor Polewali, Junaedi",Regional,"MAMASA, KOMPAS.com","
MAMASA, KOMPAS.com – Seorang pengendara motor matic merek Fino, terekam CCTV menabrak seorang bocah yang hendak menyebrang jalan di depan rumahnya, tepatnya di Desa Sindaga Manik, Kecamatan Tanduk Kalua, Mamasa, Sulawesi Barat, Jumat (24/3/2023).
Bocah perempuan bernama Ayuni (11 Tahun) ini sempat terseret motor sejauh 7 meter lebih. Akibat benturan hingga luka memar yang dialami di sekujur tubuhnya, korban terpaksa dilarikan orang tuanya ke Puskemas Tanduk Kalua.
Baca juga: 2 Pemuda di Jembrana Tewas Tertabrak Bus, Korban Terseret hingga 15 Meter
Karena lukanya dinilai parah, bocah ini kemudian dirujuk ke RSUD Polewali Mandar untuk mendapatkan perawatan intensif.
Irvan, salah satu warga yang juga saksi mata atas kejadian tersebut mengatakan, dirinya tidak sempat lagi berpikir untuk mengejar pengendara yang menabrak korban tersebut karena kaget dan panik melihat korban yang sudah tergeletak di pinggir jalan.
“Saya sempat kaget lalu segera mengangkat korban yang masih tergeletak di jalan raya,"" kata Irvan.
Polisi sudah mendatangi lokasi kejadian dan mengumpulkan sejumlah CCTV yang merekam kejadian tersebut. Beberapa warga yang menyaksikan kejadian juga diambil keterangannya oleh polisi untuk mempermudah mengejar pelaku tabrak lari tersebut.
Hingga kini, polisi masih mengejar pelaku tabrak lari tersebut. Seperti dalam rekaman video CCTV di lokasi kejadian, pelaku yang menabrak bocah kelas 4 SD itu, sempat berhenti beberapa meter untuk memperbaiki barang-barang bawaan di motornya, karena hampir terjatuh.
Namun setelah memperbaikinya, pelaku bukannya menolong korban yang tergeletak di jalan, namun langsung kabut dan tancap gas dari lokasi kejadian.
Baca juga: Pria Tanpa Identitas Tewas Tertabrak Kereta di Sragen, Terseret hingga ke Stasiun Kebonromo
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://regional.kompas.com/read/2023/03/27/114513978/terekam-cctv-bocah-perempuan-ditabrak-motor-di-mamasa-terseret-hingga-7
Cara Aman Melepas Helm Korban Kecelakaan Lalu Lintas,"Kompas.com - 26/03/2023, 13:21 WIB",Daafa Alhaqqy Muhammad,Tips N Trik,kecelakaan lalu lintas,"

JAKARTA, KOMPAS.com - Ketika memberikan pertolongan pertama pada korban kecelakaan lalu lintas (laka lantas), ada beberapa metode khusus yang harus diperhatikan.
Salah satu metode khusus yang dimaksud adalah cara aman melepaskan helm korban. Setelah terjatuh dari motor, helm korban sebaiknya segera dilepas.
“Tujuan melepas helm adalah supaya korban tidak sesak dan bagian kepalanya jadi lebih leluasa. Cara melepasnya juga tidak asal tarik, ada metode khusus,” kata Agus Sani, Head of Safety Riding AHM Wahana kepada Kompas.com, Sabtu (26/3/2023).
Menurut dia, kekeliruan pertama yang sering dilakukan oleh penolong korban di sekitar TKP kecelakaan adalah terburu-buru melepaskan helm, tapi caranya dengan cara yang salah.
Baca juga: Beda Ban Mobil Listrik dengan Mobil Konvensional
KOMPAS.COM/FIRMAN TAUFIQURRAHMAN Proses rekonstruksi ulang kasus laka lantas yang menyebakan seorang pengendara sepeda motor meninggal di Cianjur, Jawa Barat, Selasa (21/2/2023).
“Korban kan habis jatuh, kita enggak tahu apakah dia mengalami patah tulang punggung atau bahkan tulang leher. Buru-buru melepas helm malah memperparah cedera si korban,” ujarnya.
Pelepasan helm harus dilakukan oleh dua orang. Orang pertama menahan bagian leher belakang dan dagu korban, sedangkan orang kedua memegang bagian helm.
“Jika dua orang sudah bersiap lepaskan dulu tali pengikat helm, kemudian orang kedua mulai menarik helm secara perlahan dari bagian pipi korban sembari orang pertama menahan dagu korban,” kata Agus.
Proses itu harus dilakukan secara perlahan dan tidak boleh terburu-buru. Jika helm sudah dilepas, baiknya korban segera dilarikan ke rumah sakit dengan mobil.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 

",http://otomotif.kompas.com/read/2023/03/26/132100715/cara-aman-melepas-helm-korban-kecelakaan-lalu-lintas
Video Pertolongan yang Keliru pada Korban Kecelakaan Lalu Lintas,"Kompas.com - 26/03/2023, 07:21 WIB",Daafa Alhaqqy Muhammad,Feature,kecelakaan lalu lintas,"

JAKARTA, KOMPAS.com - Pertolongan pertama bagi korban kecelakaan lalu lintas (laka lantas) tidak boleh sembarangan. Ada metode penanganan khusus yang harus dilakukan supaya cedera korban tidak tambah parah.
Satu contoh pertolongan pertama laka lantas yang kurang tepat dan harus dihindari ditunjukkan pada video unggahan akun @brorondm di Instagram.
Pada video tersebut, nampak terjadi laka lantas yang melibatkan pengendara motor. Setelah korban jatuh terpelanting, ada beberapa orang yang berusaha menggotong korban ke tepi trotoar, namun dengan cara yang keliru.
Melihat situasi tersebut, perekam video langsung membentak dan meminta orang-orang untuk menurunkan kembali orang tersebut secara hati-hati.
Baca juga: Update Mudik Gratis Kemenhub, Mungkin Dibuka Lagi


 
 
 

View this post on Instagram

 
 
 
A post shared by Ronald A. Sinaga | Bro Ron DM (@brorondm)


“Jangan langsung diangkat, Bahaya! Kenapa kalian ini? Kita enggak tau kalau lehernya patah atau tulang belakangnya patah. Orang jatuh jangan langsung diangkat,” kata perekam video sebagaimana dikutip Kompas.com, Sabtu (25/3/2023).
Agus Sani, Head of Safety Riding AHM Wahana menjelaskan, ada metode khusus untuk melakukan penanganan pertama bagi kotban laka lantas, khususnya jika laka itu melibatkan motor.
“Di awal video kelihatan cara orang-orang menggotong si korban, yaitu digotong di bagian ketiak dan kaki. Cara itu bahaya sekali, untunglah langsung dihentikan,” ujarnya kepada Kompas.com, Sabtu (25/3/2023).
Menurut dia, korban laka lantas berbeda dengan orang pingsan biasa karena kecelakaan. Hal pertama yang harus dilakukan penolong adalah memeriksa kesadaran korban.
Baca juga: Komponen Mobil yang Harus Dicek Jauh-jauh Hari Sebelum Mudik
SHUTTERSTOCK/osobystist Ilustrasi kecelakaan lalu lintas. Pengendara moge tewas tertabrak bus di Baluran, Situbondo, Jumat (3/3/2023).
“Pastikan dulu kondisi korban apakah dia sadar atau tidak. Jika sadar, coba tanyakan bagian mana yang terasa sakit atau tidak bisa digerakkan. Tetap tenang dan jangan terburu-buru,” kata Agus.
Jika kondisinya sudah dipastikan, korban harus dipindahkan dan digotong dengan cara khusus supaya cedera yang dialami korban bisa tambah parah.
“Setidaknya harus ada tiga sampai empat orang. Pengangkatan korban harus dilakukan pelan-pelan dan sejajar. Ingat, Harus sejajar. Tujuannya untuk tidak memperparah cedera dalam si korban,” ucapnya.
Jika memungkinkan, sebaiknya korban segera dilarikan ke rumah sakit menggunakan mobil. Posisi peletakan korban juga harus dalam posisi telentang dan sejajar.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 

",http://otomotif.kompas.com/read/2023/03/26/072100615/video-pertolongan-yang-keliru-pada-korban-kecelakaan-lalu-lintas
"2 Pengendara Motor Terlibat Kecelakaan di Situbondo, 1 Orang Tewas","Kompas.com - 24/03/2023, 12:06 WIB","Kontributor Situbondo, Ridho Abdullah Akbar",Regional,"SITUBONDO, KOMPAS.com","
SITUBONDO, KOMPAS.com - Dua motor terlibat kecelakaan di Jalan Raya Basuki Rahmad, Kabupaten Situbondo, Jawa Timur, Kamis (23/3/2023) sore. Akibatnya, seorang warga bernama Anang Afrianto (44), warga Trogonco, Kecamatan Asembagus, tewas.
Korban merupakan pegawai sebuah pabrik gula di Kecamatan Asembagus. Saat kecelakaan terjadi, korban diduga melaju kencang sehingga kurang bisa menguasai kendaraan.
Baca juga: Cerita Faisal, 18 Tahun Beternak Tikus Mencit di Situbondo, Jual Ratusan Ekor Setiap Bulan
Salah satu warga Kecamatan Panji yang melihat insiden itu, Asmito mengatakan, korban hendak mendahului motor Honda CBR di depannya. Namun, motor korban menyenggol kendaraan yang hendak didahului.
Akibatnya, korban pun terjatuh dan menghantam aspal.
""Banyak darah yang keluar dari wajahnya, pengendara atau para warga takut menolong,"" kata Asmito, Kamis (23/3/2023).

Sejumlah warga sempat berkeinginan menolong korban. Namun, mereka khawatir salah melakukan penanganan terhadap korban kecelakaan.
""Kami melihat itu awalnya mau menolong, namun karena korban sudah meninggal sehingga kami jaga aja dan menunggu evakuasi dari aparat, kami takut salah,"" katanya.
Sementara itu, pengendara motor Honda CBR tanpa pelat nomor, Rafi Aprilio (17), warga Desa Kapongan, Kecamatan Kapongan, Kabupaten Situbondo, tidak mengalami luka serius.
Baca juga: Kabag Humas Pemkab Situbondo Dilaporkan ke Polisi atas Penipuan Robot Trading
Kanit Laka Satlantas Polres Situbondo Ipda Kadek menyatakan korban meninggal dunia di lokasi Kilometer 196.700 dari arah Surabaya. Kedua kendaraan saling bersenggolan sehingga mengakibatkan kecelakaan.
""Korban mendahului CBR dengan haluan kurang ke kanan sehingga keduanya bersenggolan dan akhirnya terjatuh,"" katanya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://surabaya.kompas.com/read/2023/03/24/120631378/2-pengendara-motor-terlibat-kecelakaan-di-situbondo-1-orang-tewas
Mengantuk Jadi Penyebab Kecelakaan dan Berujung Fatalitas,"Kompas.com - 21/03/2023, 17:01 WIB",Aprida Mega Nanda,News,lalu lintas,"

JAKARTA, KOMPAS.com - Banyak kecelakaan lalu lintas yang terjadi akibat pengemudi mengantuk atau kehilangan konsentrasi saat berkendara, khususnya saat perjalanan jarak jauh yang melalui jalan stagnan seperti jalan tol.
Tak jarang juga kecelakaan tersebut berujung fatalitas hingga menghilangkan banyak nyawa.
Seperti contoh kecelakaan fatal yang baru-baru ini terjadi melibatkan atlet bulu tangkis Indonesia, Syabda Perkasa Belawa.
Diduga insiden tersebut terjadi karena sopir mengantuk hingga menabrak bagian belakang truk. Akibat kecelakaan ini Syabda dan ibunya meninggal dunia.
Baca juga: Peringatan buat Produsen Motor Listrik, Jangan Naikan Harga Usai Dapat Subsidi
“Sesampainya di lokasi kejadian, diduga pengendara dalam kondisi mengantuk,” ucap Kasat Lantas Polres Pemalang, AKP Achmad Riedwan Prevoosy, dikutip dari Kompas.com, Senin (20/3/2023).
Mengantuk saat berkendara di jalan tol adalah satu hal yang sering terjadi dan sangat berbahaya. Senior Investigator Komite Nasional Keselamatan Transportasi (KNKT) Ahmad Wildan mengatakan, pengemudi sebaiknya tidak mengambil risiko dengan tetap mengemudi dalam keadaan mengantuk.
SHUTTERSTOCK .
“Kalau dari karakteristik manusia ada yang disebut sirkadian ritme, di mana kewaspadaan manusia paling rendah adalah pada jam 11 malam sampai jam 4 pagi. Itu adalah waktu berisiko tinggi untuk mengemudi, di mana seseorang bisa terpapar microsleep,” ucap Wildan saat dihubungi Kompas.com, Senin (21/3/2023).
Menurut Wildan, hal tersebut sangat berbahaya, sebab jika di generalisasi, faktor lelah sangat dominan terhadap penyebab kecelakaan.
“Kecepatan tinggi, gap kecepatan tinggi, kewaspadaan menurun karena lelah dari level menurunkan reaksi sampai ke microsleep. Microsleep ini sering terjadi kepada pengemudi yang berkendara melampaui waktu yang diperbolehkan,” ucap Wildan.
Dok. Wika Serpan Tol Serang-Panimbang (Serpan) mengoperasikan rest area saat libur Natal dan Tahun Baru (Nataru) 2023 di KM 70+300.
Untuk itu Wildan mengimbau pengendara tidak melewati batas aturan maksimal berkendara yang sudah ditetapkan. Selain itu, ia juga meminta pengemudi segera beristirahat di rest area jika sudah merasa lelah.
Baca juga: Stiker Pemantul Cahaya Tambahan di Truk, Bisa Cegah Kecelakaan Fatal
“Aturan maksimal berkendara itu adalah 4 jam, namun jangan terpaku pada itu. Karena 4 jam adalah batasan maksimal. Jika sudah merasa lelah dan mengantuk segera menepi dan cari rest area,” kata Wildan.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 

",http://otomotif.kompas.com/read/2023/03/21/170100815/mengantuk-jadi-penyebab-kecelakaan-dan-berujung-fatalitas
Ini Penyebab Banyak Kecelakaan Fatal di Tol Trans-Jawa,"Kompas.com - 21/03/2023, 15:01 WIB",Aprida Mega Nanda,News,"JAKARTA, KOMPAS.com ","

JAKARTA, KOMPAS.com - Jalan tol merupakan ruas jalan yang rawan kecelakaan lalu lintas. Meski sebenarnya ruas ini memiliki tingkat keamanan dan kenyamanan yang lebih tinggi dibanding jalan umum.
Salah satu ruas tol yang kerap terjadi insiden kecelakaan hingga terjadi fatalitas adalah Tol Trans-Jawa.
Sebelumnya, Indonesia Toll Road Watch (ITRW) mencatat, ada tiga ruas Jalan Tol Trans-Jawa yang dinilai sangat berbahaya dan butuh konsentrasi tinggi untuk melintasinya.
Ketiganya ruas tersebut adalah Tol Cikopo-Palimanan (Cipali), Tol Cikampek-Purwakarta-Padalarang (Cipularang), dan Tol Batang-Semarang.
Baca juga: Daftar Harga Motor Listrik Penerima Subsidi, Dijual mulai Rp 7 Jutaan
“Tol Batang-Semarang ada dua titik yang sangat rawan dan berbahaya yakni Km 355 dan Km 358,” ucap Koordinator ITRW Deddy Herlambang, seperti yang dikutip dari Kompas.com, Selasa (21/3/2023).
Menurutnya, jalan tol ini dinilai berbahaya dan rawan karena minim penerangan jalan. Akibatnya, kondisi di ruang-ruang main road (jalan utama) gelap sehingga perlu konsentrasi ekstra.
“Bila terus berkendara dengan konsentrasi tinggi tanpa jeda selama lebih dari dua jam, akan menyebabkan pengemudi cepat lelah hingga akhirnya mengantuk (sindrom kelelahan kronis),” kata Deddy.
KOMPAS.com/GARRY LOTULUNG Kendaraan pemudik dari arah Jakarta melewati jalan tol cikopo palimanan di Jawa Barat, Minggu (2/6/2019). Sistem satu arah atau one way mulai diterapkan di jalan tol Jakarta-Cikampek hingga tol Batang-Semarang di Jawa Tengah pada H-6 Lebaran 2019, Kamis (30/5).
Sementara pada arah berlawanan, sorotan lampu jauh (high beam) dari kendaraan lain ikut berkontribusi menambah akut sindrom kelelahan ini.
“Dua lajur jalan tol tidak dilengkapi dengan peredam silau pada masing-masing markanya. Tentu kondisi ini menambah berat sindrom kelelahan pengendara,” ucap Deddy.
Sementara itu, Senior Investigator Komite Nasional Keselamatan Transportasi (KNKT) Ahmad Wildan mengatakan, kecelakaan yang kerap terjadi di ruas tol tersebut tidak terkait dengan geometrik dan fasilitas jalan tol. 

",http://otomotif.kompas.com/read/2023/03/21/150100015/ini-penyebab-banyak-kecelakaan-fatal-di-tol-trans-jawa
